GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BigStitcher Spark,net.preibisch.bigstitcher.spark.fusion,GenerateComputeBlockMasks,257,0,20,0,51,0,19,0,9,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.fusion,OverlappingViews,111,0,14,0,27,0,11,0,4,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.fusion,OverlappingBlocks.Prefetched,10,0,0,0,5,0,2,0,2,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.fusion,OverlappingBlocks,77,0,6,0,19,0,8,0,5,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.abstractcmdline,AbstractRegistration.TransformationModel,34,0,0,0,1,0,1,0,1,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.abstractcmdline,AbstractInfrastructure,19,0,2,0,7,0,3,0,2,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.abstractcmdline,AbstractRegistration.RegularizationModel,54,0,0,0,1,0,1,0,1,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.abstractcmdline,AbstractSelectableViews,98,0,4,0,19,0,5,0,3,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.abstractcmdline,AbstractBasic,49,0,2,0,12,0,4,0,3,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.abstractcmdline,AbstractRegistration,280,0,34,0,58,0,24,0,7,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.detection,LazyBackgroundSubtract,342,0,12,0,53,0,10,0,4,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SparkGeometricDescriptorMatching.Method,44,0,0,0,1,0,1,0,1,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SparkAffineFusion.DataTypeFusion,34,0,0,0,2,0,1,0,1,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SparkGeometricDescriptorMatching,1799,0,84,0,269,0,66,0,24,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,ClearRegistrations,208,0,36,0,38,0,21,0,3,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SparkInterestPointDetection,2691,0,198,0,402,0,117,0,18,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SparkNonRigidFusion,850,0,72,0,169,0,43,0,7,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,Solver.SolverSource,24,0,0,0,1,0,1,0,1,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SplitDatasets,379,0,20,0,58,0,13,0,3,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,TransformPoints,316,0,28,0,59,0,18,0,4,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SparkPairwiseStitching,896,0,50,0,145,0,32,0,7,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,CreateFusionContainer.Compressions,74,0,0,0,1,0,1,0,1,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,Solver,1413,0,136,0,242,0,84,0,16,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SparkAffineFusion,1653,0,102,0,240,0,62,0,11,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SparkDownsample,442,0,20,0,67,0,14,0,4,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SparkResaveN5,834,0,50,0,133,0,36,0,11,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,CreateFusionContainer,1273,0,96,0,195,0,55,0,7,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SparkInterestPointDetection.Localization,24,0,0,0,1,0,1,0,1,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SparkInterestPointDetection.IP,34,0,0,0,1,0,1,0,1,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,ClearInterestPoints,294,0,20,0,44,0,13,0,3,0
BigStitcher Spark,net.preibisch.bigstitcher.spark,SplitDatasets.new SelectedViewDescriptionListener() {...},15,0,0,0,7,0,5,0,5,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.cloud,TestN5Loading,39,0,2,0,11,0,4,0,3,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.util,DataTypeUtil,98,0,20,0,22,0,12,0,2,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.util,Spark.SerializablePairwiseStitchingResult,64,0,0,0,13,0,2,0,2,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.util,ViewUtil.PrefetchPixel,33,0,0,0,7,0,3,0,3,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.util,Import,644,0,108,0,107,0,75,0,21,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.util,ViewUtil.ImgAndMipmapTransform,183,0,20,0,41,0,13,0,3,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.util,Downsampling,558,0,42,0,84,0,27,0,6,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.util,ViewUtil,602,0,52,0,115,0,41,0,15,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.util,Spark,499,0,24,0,79,0,38,0,26,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.util,N5Util,163,0,30,0,34,0,19,0,4,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.util,BDVSparkInstantiateViewSetup,199,0,30,0,37,0,17,0,2,0
BigStitcher Spark,net.preibisch.bigstitcher.spark.util,SpimData2Util,539,0,16,0,66,0,13,0,5,0
